ID;Startzentrum_X;Startzentrum_Y;Startzentrum_Z;Austritt_s;Linsenkontakt_s;Metallkontakt_s;Kontakt_Safranstapel_s;Ruhezustand_s;Innerhalb_Schale;Endgeschwindigkeit
saffron-0001;-0.11763;5.67070;0.03944;0.37777777777777777;0.6277777777777778;;2.1333333333333333;4.411111111111111;true;0
saffron-0002;-0.08291;5.76817;0.02666;0.3944444444444445;0.6333333333333333;;2.305555555555556;4.572222222222222;true;0
saffron-0003;-0.05241;5.81129;-0.01823;0.4166666666666667;;;2.3111111111111113;4.661111111111111;true;0
saffron-0004;-0.16995;5.65088;0.14518;0.3666666666666667;0.5611111111111111;3.5722222222222224;2.2944444444444447;4.827777777777778;true;0
saffron-0005;0.04556;5.79903;0.00602;0.37777777777777777;;4.538888888888889;2.1833333333333336;5.033333333333333;true;0
saffron-0006;-0.22391;5.61664;0.04690;0.3944444444444445;;2.0833333333333335;2.077777777777778;3.177777777777778;true;0
saffron-0007;-0.01446;5.81184;-0.14058;0.4;;2.011111111111111;2.15;3.2111111111111112;true;0
saffron-0008;-0.12154;5.76024;0.16681;0.38333333333333336;0.5388888888888889;2.677777777777778;2.4333333333333336;3.95;true;0
saffron-0009;-0.16675;5.74703;-0.05052;0.3944444444444445;;3.966666666666667;2.188888888888889;4.622222222222223;true;0
saffron-0010;-0.13963;5.72934;0.17962;0.37222222222222223;0.5166666666666667;2.5055555555555555;2.5833333333333335;3.3111111111111113;true;0
saffron-0011;-0.22592;5.59216;0.11484;0.3666666666666667;;2.0833333333333335;2.066666666666667;3.0944444444444446;true;0
saffron-0012;-0.03197;5.90714;0.00233;0.4444444444444445;;3.0833333333333335;2.216666666666667;4.4;true;0
saffron-0013;-0.04855;5.81763;0.03209;0.37777777777777777;;4.0055555555555555;2.2444444444444445;4.733333333333333;true;0
saffron-0014;-0.15385;5.62581;0.01809;0.37222222222222223;0.5166666666666667;;2.1277777777777778;4.683333333333334;true;0
saffron-0015;-0.16129;5.67458;0.17389;0.37222222222222223;0.5777777777777778;2.272222222222222;5.427777777777778;2.9722222222222223;true;0
saffron-0016;-0.16055;5.66911;-0.08575;0.3611111111111111;;2.2666666666666666;1.9611111111111112;3.5833333333333335;true;0
saffron-0017;-0.12408;5.65615;-0.12883;0.35555555555555557;;2.0166666666666666;2.0055555555555555;3.3722222222222222;true;0
saffron-0018;-0.02349;5.88689;-0.12225;0.4222222222222222;;3.8944444444444444;2.077777777777778;4.655555555555556;true;0
saffron-0019;0.04289;5.76277;-0.06237;0.37777777777777777;;2.1555555555555554;2.1833333333333336;3.1333333333333333;true;0
saffron-0020;-0.19743;5.60272;0.03877;0.3611111111111111;;3.7444444444444445;2.066666666666667;4.5888888888888895;true;0
saffron-0021;0.01876;5.79922;0.16011;0.35000000000000003;0.5222222222222223;;2.2111111111111112;5.238888888888889;true;0
saffron-0022;-0.04244;5.75864;0.00061;0.38333333333333336;;;2.316666666666667;4.527777777777778;true;0
saffron-0023;-0.02290;5.87911;-0.04413;0.4166666666666667;;2.1722222222222225;2.15;3.35;true;0
saffron-0024;-0.03650;5.78229;-0.00719;0.37777777777777777;;4.4;2.2944444444444447;5.222222222222222;true;0
saffron-0025;-0.06091;5.66095;0.12274;0.32222222222222224;0.4777777777777778;4.683333333333334;2.166666666666667;4.966666666666667;true;0
saffron-0026;-0.19257;5.54349;0.08497;0.3666666666666667;;2.011111111111111;2.066666666666667;3.0833333333333335;true;0
saffron-0027;-0.18249;5.66359;0.01453;0.37777777777777777;;;2.1166666666666667;4.55;true;0
saffron-0028;-0.11419;5.60770;-0.04582;0.34444444444444444;;;2.0722222222222224;4.3;true;0
saffron-0029;-0.14686;5.68198;0.06309;0.35000000000000003;0.5222222222222223;4.061111111111111;2.138888888888889;4.7;true;0
saffron-0030;-0.15899;5.52437;-0.08779;0.31666666666666665;;1.8444444444444446;1.9611111111111112;2.938888888888889;true;0
saffron-0031;-0.18040;5.54731;-0.03920;0.35555555555555557;;1.9277777777777778;1.9500000000000002;3.577777777777778;true;0
saffron-0032;-0.02392;5.90459;0.02351;0.4222222222222222;;2.15;2.1944444444444446;2.816666666666667;true;0
saffron-0033;-0.24948;5.60465;-0.16271;0.3888888888888889;;2.9333333333333336;1.9722222222222223;4.622222222222223;true;0
saffron-0034;-0.04030;5.76393;-0.09773;0.38333333333333336;;4.3;2.0500000000000003;4.455555555555556;true;0
